process.name,capacity,scale.ref,scale.notes,trl,trl.reference,trl.notes
activated-sludge-ozone-36.938,36.938,"http://www.sciencedirect.com/science/article/pii/S0011916406013130, http://staff.ppu.edu/iceep/abstracts/Locally%20Made%20Small%20Scale%20Activated%20Sludge%20Wastewater%20Treatment%20Plants%20...%20%D8%8C%20Abumohor%20Elias%20&%20Isaac%20Jad.pdf","3000 m3/day (seves small town of 13200 people), small-scale for a family, betweenm 0.6-1m3 per day",c,,
activated-sludge-36.938,36.938,http://www.sciencedirect.com/science/article/pii/S0000000000000001,"3000 m3/day (seves small town of 13200 people), small-scale for a family, betweenm 0.6-1m3 per day",c,,
algae-cultivation-0.00405,0.00405,http://www.sciencedirect.com/science/article/pii/S0960852409012449,"100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",c,"http://allaboutalgae.com/open-pond/, Currently in use in the US",
algae-production-pond-0.00405,0.00405,"http://www.sciencedirect.com/science/article/pii/S0960852409012449, Assume as above, for a production pond","100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",c,,
algae-production-photobioreactor-flatPlat-0.00000295,2.95E-06,"http://pubs.acs.org/doi/abs/10.1021/ie901459u, http://www.water.rutgers.edu/Educational_Programs/Senior%20Design2008/Algae%20to%20Energy%20Report.pdf","125 L (optimum size), Max trial production rate of 2.04 g/L/d, no need to scale the unit capacity: just have more units",m,https://en.wikipedia.org/wiki/Photobioreactor,
algae-production-photobioreactor-tubular-0.00000295,2.95E-06,http://pubs.acs.org/doi/abs/10.1021/ie901459u,"125 L (optimum size). Assume as above.",m,https://en.wikipedia.org/wiki/Photobioreactor,
amineScrubbing-e12,e12,,"1e12 kg (arbitrarily large number because we assume it can be freely multiplied up according to the powerplant)",c,,
anaerobic-digester-annamox-0.149,0.149,http://www.sciencedirect.com/science/article/pii/S0960852410013404,"5426504 kg of influent over 14 months, assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",c,,
anaerobicDigestion_wastewater-555.6,555.6,"https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day",c,,
anaerobicDigestion_sludge_manure-1796.361,1796.361,http://www.sciencedirect.com/science/article/pii/S0960148112003552,"2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",c,,
anaerobicDigestion_sludge-1796.361,1796.361,http://www.sciencedirect.com/science/article/pii/S0960148112003552,"2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",c,,
anaerobicDigestion_sludge_usedOil-1796.361,1796.361,http://www.sciencedirect.com/science/article/pii/S0960148112003552,"2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",c,,
AnMBR-reverseOsmosis_wastewater-555.6,555.6,"https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day. Assume that when commercialised, the process will scale up to the size of other similar processes, assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",m,http://www.iwaponline.com/wst/05605/0211/056050211.pdf,"Pilot plant"
biochemical_cornStover_ethanol-18.248,18.248,"http://link.springer.com/article/10.1007/s00267-010-9494-2#page-13, http://www.ethanolproducer.com/articles/8623/small-scale-step-forward","18248 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",c,,
biochemical_wastePaper_ethanol-22.989,22.989,http://link.springer.com/article/10.1007/s00267-010-9494-2#page-12,"22989 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",c,,
biochemical_wheatStraw_ethanol-20.299,20.299,http://link.springer.com/article/10.1007/s00267-010-9494-2#page-11,"20299 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",c,,
biochemical_woodChips_ethanol-19.543,19.543,http://link.springer.com/article/10.1007/s00267-010-9494-2#page-10,"19543 kW, small scale produces 2 gal ethanol per hour (used to calculate minimum electricity output)",c,,
