"process","resource","type","trl","trl.reference","trl.notes","scale","scale.ref","scale.notes","capacity.max","capacity.min","capacity.other.i","capacity.other.ii","capacity.other.iii","capacity.other.iv","capacity.other.v"
"activated-sludge-ozone.yaml","effluent","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0011916406013130, http://staff.ppu.edu/iceep/abstracts/Locally%20Made%20Small%20Scale%20Activated%20Sludge%20Wastewater%20Treatment%20Plants%20...%20%D8%8C%20Abumohor%20Elias%20&%20Isaac%20Jad.pdf","3000 m3/day (seves small town of 13200 people), small-scale for a family, betweenm 0.6-1m3 per day",36.938,0.0116,,,,,
"activated-sludge.yaml","effluent","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0000000000000001","3000 m3/day (seves small town of 13200 people), small-scale for a family, betweenm 0.6-1m3 per day",36.938,0.0116,,,,,
"algae-cultivation.yaml","algae","prod","c","http://allaboutalgae.com/open-pond/, Currently in use in the US",,"TODO","http://www.sciencedirect.com/science/article/pii/S0960852409012449","100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",0.00405,4.05E-009,,,,,
"algae-production-C02.yaml","algae","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0960852409012449, Assume as above, for a production pond","100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",0.00405,4.05E-009,,,,,
"algae-production-photobioreactor-flatPlate.yaml","algae","prod","m","https://en.wikipedia.org/wiki/Photobioreactor",,"TODO","http://pubs.acs.org/doi/abs/10.1021/ie901459u, http://www.water.rutgers.edu/Educational_Programs/Senior%20Design2008/Algae%20to%20Energy%20Report.pdf","125 L (optimum size), Max trial production rate of 2.04 g/L/d, no need to scale the unit capacity: just have more units",0.00000295,"NA",,,,,
"algae-production-photobioreactor-tubular.yaml","algae","prod","m","https://en.wikipedia.org/wiki/Photobioreactor",,"TODO","http://pubs.acs.org/doi/abs/10.1021/ie901459u","125 L (optimum size). Assume as above.",0.00000295,"NA",,,,,
"amineScrubbing.yaml","CO2","waste","c",,,"TODO",,"1e12 kg (arbitrarily large number because we assume it can be freely multiplied up according to the powerplant)","e12","NA",,,,,
"anaerobic-digester-anammox.yaml","wastewater","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0960852410013404","5426504 kg of influent over 14 months, assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",0.149,0.0116,,,,,
"anaerobicDigestion_municipalWasteWater.yaml","wastewater","waste","c",,,"TODO","https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day",555.6,0.0116,,,,,
"anaerobicDigestion_sewageSludge_manure.yaml","wastewater","waste","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0960148112003552","2566.23 kg/s (summing total influents)., assume smallest scale at 1m3 per day (as for activated-sludge-anammox.yaml)",1796.361,0.0116,,,,,
