"","x"
"1","activated-sludge-ozone-36.938"
"2","activated-sludge-36.938"
"3","algae-cultivation-0.00405"
"4","algae-production-pond-0.00405"
"5","algae-production-photobioreactor-flatPlat-0.00000295"
"6","algae-production-photobioreactor-tubular-0.00000295"
"7","amineScrubbing-e12"
"8","anaerobic-digester-annamox-0.149"
"9","anaerobicDigestion_wastewater-555.6"
"10","anaerobicDigestion_sludge_manure-1796.361"
"11","anaerobicDigestion_sludge-1796.361"
"12","anaerobicDigestion_sludge_usedOil-1796.361"
"13","AnMBR-reverseOsmosis_wastewater-555.6"
"14","biochemical_cornStover_ethanol-18.248"
"15","biochemical_wastePaper_ethanol-22.989"
"16","biochemical_wheatStraw_ethanol-20.299"
"17","biochemical_woodChips_ethanol-19.543"
"18","biodiesel_boiler-0.512"
"19","biodiesel-CHP-CHECK-REFERENCE"
"20","biodiesel-cookingOil-0.12"
"21","biogas-MSW-agri-4.439"
"22","biogas-CHP-300"
"23","biogas-MSW-food-4.439"
"24","biogas-MSW-sewage-combo-4.439"
"25","biogas-MSW-4.439"
"26","biogas-municipalFoodWaste-greenWaste-CNG-heat-elec-4.439"
"27","biogas-municipalFoodWaste-greenWaste-CNG-heat-4.439"
"28","biogas-municipalFoodWaste-greenWaste-CNG-4.439"
"29","biogas-municipalFoodWaste-greenWaste-elec-4.439"
"30","biogas-UPGRADE-methane-AwR-0.24"
"31","biogas-UPGRADE-methane-BABIU-0.24"
"32","biogas-UPGRADE-methane-HPWS-0.24"
"33","biogas-vegWaste-0.24"
"34","biomass_biogas-biodiesel-0.158"
"35","biomass_ethanol-2.22"
"36","biomass-gasification-130"
"37","biomass-hydrogen-dark-fermentation-0.2913"
"38","biomass-hydrogen-electrochemically-assisted-process-0.2913"
"39","biomass-hydrogen-photo-fermentation-0.2913"
"40","biomass-hydrogen-two-stage-process-0.2913"
"41","biomass-pyrolysis-4"
"42","biomass-to-DME-3.63"
"43","biomass-to-hydrogen-1.58"
"44","biomass-to-methanol-5.06"
"45","CHP-biomass-1"
"46","CHP-decentralised-fuelCell_biomass-3"
"47","CHP-fuelCell_hydrogen-2"
"48","CHP-gas_fuelOil-300"
"49","wasteGas-300"
"50","CHP-gas_gasNatural-300"
"51","CHP-microTurbine_liquidFuel-1"
"52","CHP-microTurbine_gasNatural-1"
"53","CHP-reciprocatingEngine_LPG-10"
"54","CHP-reciprocatingEngine_gasNatural-10"
"55","CHP-reciprocatingEngine_wasteGas-10"
"56","CHP-steam-large_biogas-500"
"57","CHP-steam-large_fuelOil-500"
"58","CHP-steam-large_hydrogen-500"
"59","CHP-steam-large_wasteGas-500"
"60","CHP-steam-large_liquidFuel-500"
"61","CHP-steam-large_LPG-500"
"62","CHP-steam-large_methanol-500"
"63","CHP-steam-large_gasNatural-500"
"64","CHP-steam-large_propane-500"
"65","CHP-steam-large_syngas-500"
"66","CHP-steam-small_biogas-0.5"
"67","CHP-steam-small_fuelOil-0.5"
"68","CHP-steam-small_liquidFuel_hydrogen-0.5"
"69","CHP-steam-small_wasteGas-0.5"
"70","CHP-steam-small_liquidFuel-0.5"
"71","CHP-steam-small_LPG-0.5"
"72","CHP-steam-small_methanol-0.5"
"73","CHP-steam-small_gasNatural-0.5"
"74","CHP-steam-small_propane-0.5"
"75","CHP-steam-small_syngas-0.5"
"76","coalLooping_hydrogen-elec-450"
"77","coal-solar-hybrid-116.9137"
"78","cofiring-biomass-coal-1600"
"79","cofiring-boiler_coal-biomass-350"
"80","combustion-biomass-350"
"81","coal-combustion-bituminous-350"
"82","combustion-coal-combined-cycle-2400"
"83","combustion-coal-2400"
"84","combustion-sludgeDigested-0.9474"
"85","combustion-sludgeRaw-0.9474"
"86","constructed-wetland-43.9"
"87","conventionalAirConditioning-0.003517"
"88","cookingStove-Uganda-traditional-CHECK-REFERENCE"
"89","cooling-evaporative-cooling-0.00000108"
"90","cooling-evaporative-heating-0.00382"
"91","cooling-thermallyActivated_adsorption-activatedCarbon-0.012"
"92","cooling-thermallyActivated_adsorption-silica-1"
"93","cooling-thermallyActivated_H2O-NH3_double-0.11"
"94","cooling-thermallyActivated_H2O-NH3_single-small-0.09"
"95","cooling-thermallyActivated_H2O-NH3_single-6.5"
"96","cooling-thermallyActivated_LiBr-H2O_double-11.63"
"97","cooling-thermallyActivated_LiBr-H2O_single-7"
"98","cooling-thermallyActivated_liquidDessicant-0.5"
"99","cooling-thermallyActivated_solidDessicant-0.05"
"100","desalination-Cu-Cl-combo-9259.259"
"101","desalination-mechanicalVapourCompression-9259.259"
"102","desalination-multiEffectDistillation-9259.259"
"103","desalination-multiStageFlash-9259.259"
"104","desalination-photovoltaicModules-694.4"
"105","desalination-ReverseOsmosis-PV-0.01472"
"106","desalination-ReverseOsmosis-9259.259"
"107","desalination-solarPond-34.72"
"108","desalination-wind-4.167"
"109","digestion_biomassAgriWaste_biodiesel-0.634"
"110","distributed-engine-cogen-3"
"111","distributed-engine-3"
"112","distributed-fuelCells-cogen-3"
"113","distributed-fuelCells-elec-3"
"114","distributed-gas-turbine-micro-cogen-0.4"
"115","distributed-gas-turbine-micro-0.4"
"116","distributed-solar-3"
"117","distributed-wind-0.006"
"118","district-cogen-absorptionChiller-100"
"119","district-cogen-heating-230"
"120","fossilHydrogen_intrinsicCO2capture-1.56"
"121","fuelCell_ethanol-0.015"
"122","fuelCell_leachate-0.015"
"123","fuelCell_sludge_energy-0.015"
"124","gasification-biomass-methane-0.0001319"
"125","gasification-biomass-methanol-backPressure-34.95"
"126","gasification-biomass-methanol-condensingTurbine-heatPump-twoSteamLevels-34.95"
"127","gasification-biomass-methanol-condensingTurbine-noDrying-adjusted-30.17"
"128","gasification-biomass-methanol-condensingTurbine-noDrying-30.17"
"129","gasification-coal-biomass_elec-hydrogen-304.87"
"130","gasification-coal-biomass_elec-422.59"
"131","gasification_coal_elec-hydrogen-noSupplementaryFiring-2.7"
"132","gasification_coal_elec-hydrogen-supplementaryFiring-3.8"
"133","gasification-coal_elec-500"
"134","gasification-coal-MSW_elec-500"
"135","gasification-coal-sludge_elec-500"
"136","gasification-coal-syngas-500"
"137","gasification-MSW-elec-80"
"138","gasification_sludge_hydrogen-7.7"
"139","gasification_sludge-2.85"
"140","gasification-syngas-elec-450"
"141","gasification-waste-high-temp_steam-12.02"
"142","gasification-waste-high-temp-8.62"
"143","gasification-waste-plama-ICE-steam-CC-10.13"
"144","groundWater-pumping-DEFINE-ACCORDING-TO-LOCAL-CONSTRAINTS"
"145","heatingPlant-pyrolysis_biomass-oil-62"
"146","heatPump-ASHP-highEff-radOrDHW-13"
"147","heatPump-ASHP-highEff-screedFloor-13"
"148","heatPump-ASHP-highEff-timberFloor-13"
"149","heatPump-ASHP-screedFloor-13"
"150","heatPump-ASHP-twoStage-screedFloor-13"
"151","heatPump-ASHP-twoStage-timberFloor-13"
"152","heatPump-groundCoupled-heating-13"
"153","heatPump-GSHP-screedFloor-13"
"154","heatPump-GSHP-ground-radAndDHW-13"
"155","heatPump-GSHP-ground-radOrDHW-13"
"156","heatPump-GSHP-ground-screedFloor-13"
"157","heatPump-GSHP-ground-timberFloor-13"
"158","heatPump-GSHP-radOrDHW-13"
"159","heatPump-GSHP-timberFloor-13"
"160","heatPump-sewage-cooling-13"
"161","heatPump-sewage-heating-13"
"162","heatPump-solarAssisted-cooling-0.01"
"163","heatPump-solarAssisted-heating-0.01"
"164","heatPump-transcriticalCO2-radAndDHW-13"
"165","heatPump-transcriticalCO2-radOrDHW-13"
"166","heatPump-transcriticalCO2-screedFloor-13"
"167","waste-CO2toAtmosphere-DEPENDS-ON-SIZE-OF-LANDFILL-SITE"
"168","leachateTreatment_anaerobicMembraneBioreactor-9.26"
"169","leachateTreatment_comboBiological-solarFenton-9.26"
"170","leachateTreatment-electrodyalysis-13.89"
"171","looping_hydrogen-elec-3.78"
"172","looping_hydrogen-elec-7.36"
"173","microalgae-biodiesel-3.17"
"174","microalgae-biofuels_wetExtraction-21"
"175","microCHP-fuelCell-methane-0.001"
"176","mixedRawSludge_biogas-1.284"
"177","nuclear-directUseSpentFuel-7900"
"178","nuclear-fastReactorRecycling-pyroprocess-7900"
"179","nuclear-onceThrough-7900"
"180","nuclear-thermalReactorRecycling-7900"
"181","elecplant-biomass-740"
"182","elecplant-coal-5400"
"183","elecplant-cofiring-biomass-coal-fluidisedBed-1100"
"184","elecplant-cofiring-biomass-coal-pulverisedCoal-CHECK-REFERENCE"
"185","elecplant_hydrogenLooping-12"
"186","review-methanogenic-digestion-1.27"
"187","review-biomass-MFC-elec-butannol-1.27"
"188","review-butanol-fermentation-3.56"
"189","review-ethanol-fermentation-1.27"
"190","review-hydrogen-fermentation-3.56"
"191","SAF-MBR_wastewater-63083.33"
"192","sludge-biodiesel-3.17"
"193","solar-CSP-dryCooling-50"
"194","solar-CSP-550"
"195","solar-to-hydrogen_photochemical-41"
"196","solar-to-hydrogen_photoelectrolysis-41"
"197","solar-to-hydrogen_thermochemical-41"
"198","solar-to-hydrogen_waterElectrolysis-41"
"199","surfaceWater_treatment-potable-46296.3"
"200","thermochemical_cornStover_ethanol-DONE"
"201","thermochemical_wastePaper_ethanol-DONE"
"202","thermochemical_wheatStraw_ethanol-DONE"
"203","thermochemical_woodChips_ethanol-DONE"
"204","wasteWaterEffluent_wetlands-43.9"
"205","wastewater-algaeCultivation-manurePhotobioreactor-0.00000295"
"206","wastewater-algaeCultivation-municipalWastewater-0.00000295"
"207","wastewater-algaeCultivation-openPond-0.00405"
"208","wastewater_anaerobicMembraneBioreactor-555.56"
"209","wastewater-biogas-elec-hydrogen_biogas-elec-1.206"
"210","wastewater-biogas-elec-hydrogen_biogas-heat-NUMBERS-DONT-MAKE-SENSE"
"211","wastewater-biogas-elec-hydrogen_elec-hydrogen_HTE-0.00000136"
"212","wastewater-biogas-elec-hydrogen_elec-hydrogen_KOH-0.00000188"
"213","wastewater-biogas-elec-hydrogen_elec-hydrogen_PEM-0.000002007"
"214","wastewater-biogas-elec-hydrogen_wastewater-biogas-11.6"
"215","wasteWaterEffluent_livingMachine-0.198"
"216","wasteWaterEffluent-reuse_Singapore-CHECK-REFERENCE"
"217","wastewater-reuse-irrigation-9722.2"
"218","wastewater-reuse-potable-462.96"
"219","wastewater-reuse-residential-6944.4"
"220","WtE-MSW_cogen-86"
"221","WtE-MSW_elec-86"
"222","WtE-86"
"223","activated-sludge-ozone-0.0116"
"224","activated-sludge-0.0116"
"225","algae-cultivation-4.05e-09"
"226","algae-production-pond-4.05e-09"
"227","anaerobic-digester-annamox-0.0116"
"228","anaerobicDigestion_wastewater-0.0116"
"229","anaerobicDigestion_sludge_manure-0.0116"
"230","anaerobicDigestion_sludge-0.0116"
"231","anaerobicDigestion_sludge_usedOil-0.0116"
"232","AnMBR-reverseOsmosis_wastewater-0.0116"
"233","biochemical_cornStover_ethanol-0.007243"
"234","biochemical_wastePaper_ethanol-0.0084985"
"235","biochemical_wheatStraw_ethanol-0.009477"
"236","biochemical_woodChips_ethanol-0.00783"
"237","biodiesel_boiler-0.025"
"238","biodiesel-cookingOil-0.0193"
"239","biogas-MSW-agri-0.254"
"240","biogas-CHP-0.5"
"241","biogas-MSW-food-0.254"
"242","biogas-MSW-sewage-combo-0.254"
"243","biogas-MSW-0.254"
"244","biogas-municipalFoodWaste-greenWaste-CNG-heat-elec-0.254"
"245","biogas-municipalFoodWaste-greenWaste-CNG-heat-0.254"
"246","biogas-municipalFoodWaste-greenWaste-CNG-0.254"
"247","biogas-municipalFoodWaste-greenWaste-elec-0.254"
"248","biogas-UPGRADE-methane-AwR-0.254"
"249","biogas-UPGRADE-methane-BABIU-0.254"
"250","biogas-UPGRADE-methane-HPWS-0.254"
"251","biogas-vegWaste-0.254"
"252","biomass_ethanol-0.159"
"253","biomass-gasification-0.14"
"254","biomass-pyrolysis-1"
"255","CHP-biomass-0.005"
"256","CHP-decentralised-fuelCell_biomass-0.005"
"257","CHP-fuelCell_hydrogen-0.005"
"258","CHP-gas_fuelOil-0.5"
"259","wasteGas-0.5"
